ID,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
04572,"OIL,NUTMEG BUTTER",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.2,,,,90,4.8,0,0,13.6,1 tbsp,218,1 cup
04573,"OIL,UCUHUBA BUTTER",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.6,,,,85.2,6.7,2.9,0,13.6,1 tbsp,218,1 cup
04574,"FAT,DUCK",0.2,882,0,99.8,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,0,0,0,0,0,0,0,0,0,0,122.4,0,0,0,0,0,0,0,0,0,2.7,4.8,191,0,33.2,49.3,12.9,100,12.8,1 tbsp,205,1 cup
04575,"FAT,TURKEY",0.2,900,0,99.8,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,0,0,0,0,0,0,0,0,0,0,122.4,0,0,0,0,0,0,0,0,0,2.9,4.8,191,0,29.4,42.9,23.1,102,12.8,1 tbsp,4.3,1 tsp
04576,"FAT,GOOSE",0.2,900,0,99.8,0,0,0,,0,0,0,0,0,0,0,,,0.2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,2.7,,,,27.7,56.7,11,100,12.8,1 tbsp,205,1 cup
04581,"OIL,AVOCADO",0,884,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,11.56,70.554,13.486,,14,1 tbsp,218,1 cup
04582,"OIL,CANOLA",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,17.46,0,0,71.3,7.365,63.276,28.142,0,14,1 tbsp,218,1 cup
04583,"OIL,MUSTARD",0,884,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,11.582,59.187,21.23,,14,1 tbsp,218,1 cup
04584,"OIL,SUNFLOWER,HI OLEIC (70% & OVER)",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,41.08,0,0,5.4,9.859,83.689,3.798,0,14,1 tbsp,218,1 cup
04585,"MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER",17.07,727,0.31,80.32,1.53,0.77,0,0,10,0.04,1,10,22,719,0.03,0.01,0.006,0.2,0.1,0.009,0.023,0.022,0.041,0.009,2,0,2,2,6.5,0,3571,819,768,0,610,0,0,0,3.88,0,1,86.5,14.198,30.292,24.17,12,14.1,1 tbsp,227,1 cup
04586,"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6.13,,,43,20.001,36.555,37.991,0,12.8,1 tbsp,205,1 cup
04587,"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6.13,,,43,28.843,29.583,37.174,0,12.8,1 tbsp,205,1 cup
04588,"OIL,OAT",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,14.4,,,24.7,19.62,35.11,40.87,0,13.6,1 tbsp,218,1 cup
04589,"FISH OIL,COD LIVER",0,902,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,100000,30000,30000,,,,,,,250,10000,,22.608,46.711,22.541,570,4.5,1 tsp,13.6,1 tbsp
04590,"FISH OIL,HERRING",0,902,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,21.29,56.564,15.604,766,13.6,1 tbsp,4.5,1 tsp
04591,"FISH OIL,MENHADEN",0,902,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,30.427,26.694,34.197,521,13.6,1 tbsp,4.5,1 tsp
04592,"FISH OIL,MENHADEN,FULLY HYDR",0,902,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,95.6,0,0,500,12.5,1 tbsp,4.5,1 tsp
04593,"FISH OIL,SALMON",0,902,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,19.872,29.037,40.324,485,13.6,1 tbsp,4.5,1 tsp
04594,"FISH OIL,SARDINE",0,902,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,8.3,332,,29.892,33.841,31.867,710,13.6,1 tbsp,4.5,1 tsp
04595,"SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR)",0,884,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,30.423,50.973,14.204,0,12.8,1 tbsp,205,1 cup
04600,"MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT",56,362,1,40,2,1,0,0,24,0.04,2,20,36,786,0.01,0.002,,0.5,0.1,0.01,0.03,0.02,,0.01,1,0,1,1,6.5,0.09,3571,819,768,0,610,0,0,0,4.47,0,1,46.1,7.238,18.438,12.573,0,14,1 tablespoon,,
04601,"BUTTER,LT,STK,W/SALT",42.1,499,3.3,55.1,1,0,0,0,48,1.09,5,34,71,450,0.26,0,,1,0,0.01,0.07,0.02,,0.01,1,0,1,1,12.9,0.13,1698,465,456,0,107,0,0,0,1.58,0,0,4.8,34.321,15.927,2.046,106,14,1 tablespoon,,
04602,"BUTTER,LT,STK,WO/SALT",43.2,499,3.3,55.1,0.5,0,0,0,48,1.09,5,34,71,36,0.26,0,,1,0,0.01,0.07,0.02,,0.01,1,0,1,1,12.9,0.13,1698,465,456,0,107,0,0,0,1.58,0,0,4.8,34.321,15.927,2.046,106,14,1 tablespoon,,
04606,"MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)",0,889,0,98.59,1.4,0,0,0,0,0,0,0,0,545,0,0,,0,0,0,0,0,,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0.59,2.5,100,0,44.79,41.77,7.56,101,12.8,1 tablespoon,28.35,1 oz
04609,"ANIMAL FAT,BACON GREASE",0,897,0,99.5,0.5,0,0,0,0,0,0,0,0,150,0.11,0,,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0,0.6,2.5,101,0,39.004,44.874,11.144,95,4.3,1 tsp,,
04610,"MARGARINE,REG,80% FAT,COMP,STK,W/ SALT",16.52,717,0.16,80.71,1.92,0.7,0,0,3,0.06,3,5,18,751,0,0,,0,0.2,0.01,0.037,0.023,0,0.009,1,0,1,1,12.4,0.1,3571,819,768,0,610,0,0,0,9,0,0,93,15.189,38.877,24.302,0,14,1 tbsp,227,1 cup
04611,"MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT",17.07,713,0.22,80.17,1.78,0.75,0,0,3,0,1,5,17,657,0,0,0,0,0.1,0,0,0,0.085,0,1,0,1,1,12.4,0.08,3571,819,768,0,610,0,0,0,15.43,0,0,91.7,14.224,36.435,26.741,0,14.2,1 tbsp,227,1 cup
04612,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STK,W/ SALT",36.95,537,0.12,60.39,1.84,0.69,0,0,21,0,2,16,30,785,0,0.008,0,0,0.1,0.007,0.026,0.016,0.059,0.006,1,0,1,1,12.4,0.07,3571,819,768,0,610,0,0,0,5,0,0,101.3,10.884,29.664,16.718,0,14.3,1 tbsp,229,1 cup
04613,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT",37.58,533,0.17,59.81,1.59,0.86,0,0,21,0,2,16,30,615,0,0,,0,0.1,0.007,0.026,0.016,0.001,3.75,1,0,1,1,10.2,10.8,3571,819,768,0,610,0,0,0,21.12,0,0,101.3,12.086,19.348,26.477,1,14,1 tbsp,229,1 cup
04614,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,W/ SALT",38.68,526,0.6,59.17,1.7,0,0,0,21,0,2,16,30,700,0,0,,0,0.1,0.007,0.026,0.016,0.03,0.006,1,0,1,1,12.4,0.07,3571,819,768,0,610,0,0,0,5,0,0,101.3,10.042,20.316,24.686,1,14.3,1 tbsp,229,1 cup
04615,"SHORTENING,VEG,HOUSEHOLD,COMP",0,884,0,99.97,0.03,0,0,0,1,0.07,0,0,0,4,0,0,0,0,0,0.02,0,0,0.68,0.001,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,6.13,0,0,53.2,24.98,41.186,28.097,0,12.8,1 tbsp,205,1 cup
04617,"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT",16.52,717,0.16,80.71,1.92,0.7,0,0,3,0.06,3,5,18,2,0,0,,0,0.2,0.01,0.037,0.023,,0.009,1,0,1,1,12.4,0.1,3577,819,768,0,610,0,0,0,9,0,0,93,15.189,38.877,24.302,0,14.2,1 tbsp,227,1 cup
04618,"MARGARINE,REG,80% FAT,COMP,TUB,WO/ SALT",17.07,713,0.22,80.17,1.78,0.75,0,0,3,0,1,5,17,28,0,0,,0,0.1,0,0,0,,0,1,0,1,1,12.4,0.08,3577,819,768,0,610,0,0,0,15.43,0,0,91.7,14.224,36.435,26.741,0,14.2,1 tbsp,227,1 cup
04620,"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT",37.58,533,0.17,59.81,1.59,0.86,0,0,21,0,2,16,30,2,0,0,,0,0.1,0.007,0.026,0.016,,3.75,1,0,1,1,10.2,10.8,3577,819,768,0,610,0,0,0,21.12,0,0,101.3,12.086,19.348,26.477,1,14,1 tbsp,,
04624,"MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT",91,43,1.5,3,2,2.5,0,0,38,0.03,4,30,50,833,0.14,0.008,,0,0.3,0.01,0.04,0.03,,0.01,2,0,2,2,12.4,0.11,3571,819,768,0,610,0,0,0,5,0,0,0.3,0.416,0.74,1.764,1,15,1 tbsp,,
04626,"MARGARINE-LIKE SPRD W/ YOGURT,70% FAT,STK,W/ SALT",28,630,0.3,70,2,0.5,0,0,20,0.01,2,16,25,590,0.1,0.002,,0,0.1,0.005,0.02,0.01,,0.05,1,0,1,1,12.4,0.06,3577,819,768,0,610,0,0,0,5,0,0,93,13.3,39.9,14,0,14,1 tablespoon,,
04627,"MARGARINE-LIKE SPRD W/ YOGURT,APPROX 40% FAT,TUB,W/ SALT",59,330,2,35,2,2,0,0,50,0.02,5,39,64,630,0.24,0.004,,1,0.2,0.01,0.06,0.03,,0.01,3,0,3,3,12.4,0.15,3577,819,768,0,610,0,0,0,5,0,0,93,7,9.8,16.8,0,14,1 tablespoon,,
04628,"MARGARINE,80% FAT,STK,INCL REG & HYDR CORN & SOYBN OILS",16.52,717,0.16,80.71,1.92,0.7,0,,3,0.12,1,5,18,654,0.11,,,,,0.012,0,0.003,0,0,1,0,1,1,,,,,,,,,,,5.23,,,75,15.189,38.877,24.302,0,14,1 tbsp,,
04629,"MARGARINE, VEG OIL SPRD,70% FAT,SOYBN & PART HYDR SOYBN,STK",26.23,628,0.26,70.22,1.76,1.53,,,7,0.12,2,10,46,700,0.06,,0.014,,,0.052,0.025,,0.001,0.003,1,0,1,1,,,3571,,,,,,,,5.59,,,,13.631,33.468,20.248,0,14,"1 tbsp,  (1 NLEA serving)",,
04630,"MARGARINE SPRD,APPROX 48% FAT,TUB",49.66,424,0.2,47.53,1.75,0.86,0,,4,0.21,1,4,36,646,0.06,0.008,0,0,0,0,0.019,0,0.001,0.001,2,0,2,2,,,,,,,,,,,3.94,,,101.3,8.792,16.416,20.235,1,14,1 tbsp,,
04631,"MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB",90.69,44,0.1,3.04,1.83,4.34,0,0,8,0.08,1,2,36,580,0.07,0,0,0,0,1.011,0,0.883,0.271,0.001,0,0,0,0,8.3,0,3307,993,993,0,0,0,0,0,0.52,0,0,0.1,2.128,0.356,0.422,0,14.6,1 tbsp,233,1 cup
04633,"MARGARINE-LIKE,VEG OIL SPRD,20% FAT,W/ SALT",78.8,175,0,19.5,1.3,0.4,0,0,0,0,1,14,25,733,0,0,,0,0,0,0,0,,0,0,0,0,0,12.4,0,3577,819,768,0,610,0,0,0,4.5,0,0,70.9,2.87,7.48,8.04,0,15,1 tbsp,240,1 cup
04634,"MARGARINE-LIKE,VEG OIL SPRD,20% FAT,WO/ SALT",78.8,175,0,19.5,1.3,0.4,0,0,0,0,1,14,25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,12.4,0,3577,819,768,0,610,0,0,0,4.5,0,0,93,2.87,7.48,8.04,0,12.8,1 tbsp,205,1 cup
04635,"SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE",66.14,132,0.55,1.45,2.59,29.27,3.3,16.83,11,0.28,4,1,122,788,0.09,0.178,0.021,2,0,0.236,0.049,0.261,0,0,12,0,12,12,4.6,0,11,1,0,0,0,13,1587,0,0.75,0,0,3.7,0.198,0.342,0.63,5,16,1 tbsp,256,1 cup
04636,"SALAD DRSNG,ITALIAN DRSNG,FAT-FREE",85.95,47,0.97,0.87,3.47,8.75,0.6,8.85,30,0.4,5,109,102,1129,0.36,0.116,0.032,2,0.4,0.031,0.053,0.135,0,0,12,0,12,12,4,0.31,77,4,0,0,40,11,5,0,0.76,0,0,1.6,0.295,0.235,0.192,2,14,1 tbsp,231,1 cup
04638,"SALAD DRSNG,RANCH DRSNG,FAT-FREE",68.33,119,0.25,1.92,3,26.51,0.1,5.35,50,1.05,8,113,111,897,0.4,0.195,0.111,0.8,0,0.03,0.025,0.007,0.771,0.024,6,0,6,6,,0,3,1,1,0,0,0,0,4,0.18,,,2.3,0.447,0.388,0.698,7,14,1 tablespoon,,
04639,"SALAD DRSNG,RANCH DRSNG,REG",45.68,430,1.32,44.54,2.55,5.9,0,4.69,28,0.3,5,186,64,901,0.17,0.019,0.033,3.5,0,0.015,0.087,0.054,0.272,0.03,4,0,4,4,32.8,0.17,69,15,13,0,14,1,0,21,2.22,0.1,3,134.3,6.964,9.202,25.796,26,15,1 tablespoon,30,1 serving
04640,"SALAD DRSNG,RANCH DRSNG,RED FAT",62.04,196,1.25,12.42,2.96,21.33,1.1,3.77,40,0.69,6,193,132,1120,0.62,0.162,0.053,2.9,0.6,0.022,0.027,0.007,0.861,0.029,4,0,4,4,,0,67,18,17,2,4,2,0,49,1.6,0,0,34.8,1.25,2.794,4.213,16,15,1 tablespoon,30,"1 serving,  (2 tbsp)"
04641,"SALAD DRSNG,MAYO,LT",66.13,238,0.37,22.22,2.05,9.23,0,3.56,6,0.14,2,15,31,827,0.07,0.019,0.007,2.6,0,0.008,0,0.01,0.058,0.002,4,0,4,4,9,0,70,8,5,0,30,3,0,27,2.19,0,0,53.7,3.446,5.01,12.993,16,15,1 tablespoon,,
04642,"OIL,INDUSTRIAL,MID-OLEIC,SUNFLOWER",0,884,0,100,0,0,0,0,0,0.03,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,41.08,,,5.4,9.009,57.334,28.962,0,13.6,1 tablespoon,4.5,1 teaspoon
04643,"OIL,INDUSTRIAL,CANOLA W/ ANTIFOAMING AGENT",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,17.1,,,122,7.615,62.093,25.588,0,13.6,1 tablespoon,218,1 cup
04644,"OIL,INDUSTRIAL,CANOLA FOR SALADS,WOKS & LT FRYING",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,17.46,,,71.3,7.758,61.15,26.397,0,13.6,1 tablespoon,4.5,1 teaspoon
04645,"OIL,INDUS,CANOLA (PART HYDROG) OIL FOR DEEP FAT FRYING",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,17.46,,,71.3,10.117,71.075,14.038,0,13.6,1 tablespoon,4.5,1 teaspoon
04646,"OIL,INDUSTRIAL,COCNT",0,884,0,100,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.09,,,0.5,86.002,5.935,1.657,0,13.6,1 tbsp,218,1 cup
04648,"OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.1,,,24.7,17.683,41.929,35.638,0,13.6,1 tbsp,218,1 cup
04649,"SHORTENING,INDUS,SOY (PART HYDROG),POURABLE LIQ FRY",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.1,,,24.7,18.358,38.87,38.009,0,13.6,1 tbsp,218,1 cup
04650,"OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING",0,884,0,100,0,0,0,0,0,0.02,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.18,,,183.9,15.34,21.701,58.208,0,13.6,1 tbsp,218,1 cup
04651,"OIL,INDUSTRIAL,SOY (PART HYDR),FOR NON-DAIRY BUTTER FLAVOR",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.1,0,0,24.7,18.101,40.262,36.847,0,13.6,1 tbsp,218,1 cup
04652,"OIL,INDUSTRIAL,SOY ( PART HYDROGENATED),ALLPURP",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.1,0,0,24.7,24.75,61.248,9.295,0,13.6,1 tbsp,218,1 cup
04653,"OIL,INDUSTRIAL,SOY (PART HYDR ) & SOY,POURABLE FRY",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.1,,,24.7,15.341,34.63,45.228,0,13.6,1 tbsp,218,1 cup
04654,"OIL,INDUS,SOY (PART HYDROG) & CTTNSD,TORTILLA SHORTENING",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,12.1,0,0,24.7,25.883,59.133,10.305,0,13.6,1 tbsp,218,1 cup
04655,"MARGARINE-LIKE SHORTENING,INDUS,SOY(PART  HYDR),CTTNSD,& SOY",28,628,0,71,1,0,0,0,0,0,0,0,0,864,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6.13,,,43,22.869,37.243,7.512,0,14,1 tbsp,,
04656,"OIL,INDUSTRIAL,PALM KERNEL,CONFECTION FAT",0.05,884,0,100,0.01,0,0,0,1,0.29,0,0,2,6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,3.81,,,24.7,87.558,5.406,0.834,0,13.6,1 tbsp,218,1 cup
04657,"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT",0.05,884,0,100,0.01,0,0,0,1,0.15,0,0,1,6,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,3.81,,,24.7,93.701,0.257,0,0,13.6,1 tbsp,218,1 cup
04658,"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT",0.04,884,0,100,0.01,0,0,0,1,0.15,0,0,1,6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,3.81,,,24.7,92.614,1.271,0.037,0,13.6,1 tbsp,218,1 cup
04659,"OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS",0.08,884,0,100,0.01,0,0,0,2,0.15,0,0,2,5,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.09,0,0,0.5,86.503,5.681,1.45,0,13.6,1 tbsp,218,1 cup
04660,"OIL,INDUSTRIAL,PALM KERNEL (HYDROG) FOR WHIPPED TOPPINGS",0.04,884,0,100,0.01,0,0,0,1,0.15,0,0,2,6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,3.81,,,24.7,88.965,4.934,0,0,13.6,1 tbsp,218,1 cup
04661,"OIL,INDUSTRIAL,COCNT (HYDROGENATED),FOR TOPPINGS & WHITENERS",0.07,880,0,99.5,0.01,0,0,0,1,0.15,0,0,2,7,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.09,,,0.5,93.536,0.267,0,0,13.6,1 tbsp,218,1 cup
04662,"OIL,INDUSTRIAL,PALM & PALM KERNEL,FILLING FAT (NON-HYDROG)",0.04,880,0,99.5,0.01,0,0,0,1,0.15,0,0,4,6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3.81,,,24.7,71.444,19.702,3.247,0,13.6,1 tbsp,218,1 cup
04663,"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),FILLING FAT",0.08,884,0,100,0.01,0,0,0,2,0.15,0,0,1,6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,3.81,,,24.7,88.209,5.705,0,0,13.6,1 tbsp,218,1 cup
04664,"OIL,INDUSTRIAL,SOY (PARTHYDR ),PALM, ICINGS & FILLINGS",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.1,,,24.7,28.421,59.715,7.095,0,13.6,1 tbsp,218,1 cup
04665,"MARGARINE,INDUS,NON-DAIRY,CTTNSD,SOY OIL (PART HYDR )",15.8,714,1.9,80.2,2,0,0,0,66,0,6,51,94,879,0,0,,0,0.4,0.022,0.081,0.05,0.187,0.019,3,0,3,3,,0.21,4286,1032,981,0,610,0,0,,4.6,0,0,106.2,20.442,46.692,9.265,0,14,1 tbsp,,
04666,"SHORTENING,INDUSTRIAL,SOY (PARTIALLY HYDR )&CORN FOR FRYING",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,6.13,0,0,43,17.416,40.824,36.038,0,12.8,1 tbsp,205,1 cup
04667,"SHORTENING,INDUS,SOY (PART HYDR ) FOR BAKING & CONFECTIONS",0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,6.13,,,43,18.788,71.023,5.4,0,12.8,1 tbsp,205,1 cup
04668,"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY",17.17,714,0.18,80,1.94,0.71,0,0,3,0.12,1,5,18,886,0.11,,,,,0.012,0,0.003,0,0,1,0,1,1,,0.21,3571,,,,,,,,6.23,,,75,16.321,37.46,22.422,0,14,1 tbsp,227,1 cup
04669,"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED",0,884,0,100,0,0,0,0,0,0.02,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.18,,,183.9,15.251,22.727,57.333,0,13.6,1 tablespoon,218,1 cup
04670,"USDA CMDTY FD,OIL,VEG,LO SATURATED FAT",0,884,0,100,0,0,0,0,0,0.02,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,9.21,,,197.6,7.429,22.73,65.138,0,13.6,1 tbsp,218,1 cup
04673,"MARGARINE-LIKE SPRD,SMART BALANCE REG BUTTERY SPRD",33.95,583,0.14,64.63,1.14,0.14,0,0,,,,4,28,646,,,,,,,,,,,,,,,,,3819,,,,,,,,19.34,,,55.5,16.69,26.207,17.822,0,14,1 tablespoon,,
04674,"MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD",59.89,337,0.02,36.41,1.7,1.98,,,3,0,1,1,32,580,0,0,0,,,0,0,0,,0,,,,,,,5161,1433,1410,,,,,,15.75,,,46.8,10.087,13.699,9.651,,14,1 tbsp,,
04675,"MARGARINE-LIKE SPRD,SMART BEAT SUPER LT WO/ SATURATED FAT",80.83,158,0,17.1,1.91,0,0,0,,,,0,12,755,,,,,,,,,,,,,,,,,4489,,,,,,,,1.7,,,12.3,2.22,7.6,3.98,0,14,1 tablespoon,,
04676,"MARGARINE-LIKE SPRD,SMART BEAT SMART SQUEEZE",87.91,47,0,2.1,2.45,7.1,0,1,,,,0,26,829,,,,,,,,,,,,,,,,,5772,,,,,,,,0.2,,,4.2,0.31,0.47,1.18,0,14,1 tablespoon,,
04677,"MARGARINE-LIKE SPRD,SMART BALANCE OMEGA PLUS SPRD",27.86,605,0.13,70.95,0.91,0.16,0,0,,,,23,71,729,,,,,,,,,,,,,,,,,5407,,,,,,,,11.78,,,52.5,19.83,25.334,18.484,23,14,1 tablespoon,,
04678,"OIL,VEG,NATREON CANOLA,HI STABILITY,NON TRANS,HI OLEIC (70%)",0,884,0,100,0,0,0,0,,,,,,0,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,21.8,0,0,,6.511,71.991,17.098,0,14,1 tbsp,,
04679,"OIL,PAM COOKING SPRAY,ORIGINAL",0.11,792,0.26,78.69,0.25,20.69,0,0,0,0,0,0,0,59,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.025,49.792,22.145,0,0.3,"1 spray, , about 1/3 second (1 NLEA serving)",,
